Var1,Freq,Old category,New category,Bot
Because their main intrest is clearly about their veiwers best intrest...veiwers that are and are not like me,1,Because their main intrest is clearly about their veiwers best intrest...veiwers that are and are not like me,"Nostalgia, familiarity, and comfort",
Because their reporters are unbiased.,1,Because their reporters are unbiased.,"News exhibits political moderation, unbiasedness, or accuracy",
Because there are no commercial spots it is relatively unbiased.,1,Because there are no commercial spots it is relatively unbiased.,"News exhibits political moderation, unbiasedness, or accuracy",
Because there not bias,1,Because there not bias,"News exhibits political moderation, unbiasedness, or accuracy",
Because they are best,1,Because they are best,Other,
because they are funded by the people who watch it,1,because they are funded by the people who watch it,Public funding,
Because they are local and it's just good clean broadcasting,1,Because they are local and it's just good clean broadcasting,High quality programming,
because they are not bias,1,because they are not bias,"News exhibits political moderation, unbiasedness, or accuracy",
Because they are not competing with other stations,1,Because they are not competing with other stations,Public funding,
Because they are not influenced by the government,1,Because they are not influenced by the government,Structure of the network,
Because they are reliable,1,Because they are reliable,"News exhibits political moderation, unbiasedness, or accuracy",
Because they are the brand i trust,1,Because they are the brand i trust,"News exhibits political moderation, unbiasedness, or accuracy",
Because they are very good.,1,Because they are very good.,Other,
Because they are very realistic,1,Because they are very realistic,"News exhibits political moderation, unbiasedness, or accuracy",
Because they are well contribution in the society,1,Because they are well contribution in the society,Other,
Because they have a children's program,1,Because they have a children's program,Children's and educational programming,
Because they have been a trusted source for my entire life.,1,Because they have been a trusted source for my entire life.,"Nostalgia, familiarity, and comfort",
Because they lack bias,1,Because they lack bias,"News exhibits political moderation, unbiasedness, or accuracy",
Because they provide a lot of good local information,1,Because they provide a lot of good local information,"News exhibits political moderation, unbiasedness, or accuracy",
Because they provide the most accurate and effective news in the various channels,1,Because they provide the most accurate and effective news in the various channels,"News exhibits political moderation, unbiasedness, or accuracy",
Because they talk about things in every day life,1,Because they talk about things in every day life,"News exhibits political moderation, unbiasedness, or accuracy",
"Becose , it is honest",1,"Becose , it is honest","News exhibits political moderation, unbiasedness, or accuracy",
Been a longtime popular group.,1,Been a longtime popular group.,"Nostalgia, familiarity, and comfort",
Been around for a long time,1,Been around for a long time,"Nostalgia, familiarity, and comfort",
Been watching since a kid,1,Been watching since a kid,"Nostalgia, familiarity, and comfort",
Being neutral.,1,Being neutral.,"News exhibits political moderation, unbiasedness, or accuracy",
belive,1,belive,Other,
best,1,best,Other,
Best,2,Best,Other,
Best honest quality broadcast company on TV,1,Best honest quality broadcast company on TV,"News exhibits political moderation, unbiasedness, or accuracy",
best nest of world,1,best nest of world,"News exhibits political moderation, unbiasedness, or accuracy",
Best of it and I will be there,1,Best of it and I will be there,Other,
better,2,better,Other,
Better programming and news,1,Better programming and news,High quality programming,
Bevause their real,1,Bevause their real,Other,
Bhg,1,Bhg,A specific show or program,
Bill Nye the Science Guy,1,Bill Nye the Science Guy,A specific show or program,
Broad range of relevant topics covered in-depth with excellent on- air persons.,1,Broad range of relevant topics covered in-depth with excellent on- air persons.,"News exhibits political moderation, unbiasedness, or accuracy",
Cant say,1,Cant say,Other,
Caring,1,Caring,Other,
Cause it's teaches kids how to learn,1,Cause it's teaches kids how to learn,Children's and educational programming,
Cause of my kids and it tell the trust,1,Cause of my kids and it tell the trust,Children's and educational programming,
Cause of news quality,1,Cause of news quality,"News exhibits political moderation, unbiasedness, or accuracy",
Childhood built in and taught from alot of their programs.,1,Childhood built in and taught from alot of their programs.,Children's and educational programming,
Children channel very entertaining,1,Children channel very entertaining,Children's and educational programming,
Children programming,1,Children programming,Children's and educational programming,
"Children programming, Entertaining Episode, Amazing, Super.",1,"Children programming, Entertaining Episode, Amazing, Super.",Children's and educational programming,
Children shows,1,Children shows,Children's and educational programming,
childrens programming except Sesame Street which has become left leaning. When was the last time you supported programming about Police or military for kids?,1,childrens programming except Sesame Street which has become left leaning. When was the last time you supported programming about Police or military for kids?,Children's and educational programming,
Cnn,1,Cnn,Other,
"CNN, ABC, NBC, CBS, FOX",1,"CNN, ABC, NBC, CBS, FOX",Other,
Commumity,1,Commumity,"Nostalgia, familiarity, and comfort",
Confirmable,1,Confirmable,"Nostalgia, familiarity, and comfort",
connects with you personally with local news that applies to you directly,1,connects with you personally with local news that applies to you directly,"News exhibits political moderation, unbiasedness, or accuracy",
consistanat,1,consistanat,High quality programming,
Consistant non bias variety o programming,1,Consistant non bias variety o programming,"News exhibits political moderation, unbiasedness, or accuracy",
consistently proved high quality news and entertaining programs,1,consistently proved high quality news and entertaining programs,"News exhibits political moderation, unbiasedness, or accuracy",
Content,1,Content,High quality programming,
cool,1,cool,Other,
COVER NEWS IN MORE DEPTH,1,COVER NEWS IN MORE DEPTH,"News exhibits political moderation, unbiasedness, or accuracy",
Dependable,1,Dependable,"Nostalgia, familiarity, and comfort",
Depth of reporting; attempts to be balanced.,1,Depth of reporting; attempts to be balanced.,"News exhibits political moderation, unbiasedness, or accuracy",
Dididi,1,Dididi,Other,
didn't say I did,1,didn't say I did,Other,
Different political ads got my attention,1,Different political ads got my attention,Other,
Diverse programming,1,Diverse programming,Range and diversity of programming,
Diverse programming.,1,Diverse programming.,Range and diversity of programming,
Diversified in providing education and knowledge.,1,Diversified in providing education and knowledge.,Range and diversity of programming,
diversity of programs,1,diversity of programs,Range and diversity of programming,
divirsity,1,divirsity,Range and diversity of programming,
Do & don't for sure.,1,Do & don't for sure.,Other,
Do not display prejudice or allegance to specific group.,1,Do not display prejudice or allegance to specific group.,"News exhibits political moderation, unbiasedness, or accuracy",
Do not get my news from them.,1,Do not get my news from them.,Other,
Do not project on political viewpoint.  Addresses news based on facts.,1,Do not project on political viewpoint.  Addresses news based on facts.,"News exhibits political moderation, unbiasedness, or accuracy",
Does great news service.,1,Does great news service.,"News exhibits political moderation, unbiasedness, or accuracy",
Does not have to cater to advertisers,1,Does not have to cater to advertisers,Public funding,
Doesn't have advertisers influencing views.,1,Doesn't have advertisers influencing views.,Public funding,
Don't cram politics or their views down you.,1,Don't cram politics or their views down you.,"News exhibits political moderation, unbiasedness, or accuracy",
Don’t,1,Don’t,Other,
Dont completely trust,1,Dont completely trust,Other,
Due to self respect,1,Due to self respect,Other,
Durability and accountability,1,Durability and accountability,"News exhibits political moderation, unbiasedness, or accuracy",
E,1,E,Other,
Education,1,Education,Children's and educational programming,
Education and news for everyone,1,Education and news for everyone,Children's and educational programming,
Educational,3,Educational,Children's and educational programming,
Educational Children’s Programming,1,Educational Children’s Programming,Children's and educational programming,
"Educational programming helps me learn, diversity and ethical standards and transparent.",1,"Educational programming helps me learn, diversity and ethical standards and transparent.",Children's and educational programming,
Educational purposes,1,Educational purposes,Children's and educational programming,
Efficiency,1,Efficiency,Other,
Ethics,1,Ethics,"News exhibits political moderation, unbiasedness, or accuracy",
Everyone,1,Everyone,Other,
Everything,3,Everything,Other,
Excelente calidad,1,Excelente calidad,Other,
Excellent,1,Excellent,Other,
Exceptional,1,Exceptional,Other,
Experience - I have been watching it since my 1950s childhood.,1,Experience - I have been watching it since my 1950s childhood.,"Nostalgia, familiarity, and comfort",
Extremely relevant and well branded,1,Extremely relevant and well branded,Other,
fair and all sides are represented,1,fair and all sides are represented,"News exhibits political moderation, unbiasedness, or accuracy",
Fair and balanced reporting and great programming,1,Fair and balanced reporting and great programming,"News exhibits political moderation, unbiasedness, or accuracy",
"Fair and balanced reporting, keeps me up to date with current news",1,"Fair and balanced reporting, keeps me up to date with current news","News exhibits political moderation, unbiasedness, or accuracy",
fair and unbiased,1,fair and unbiased,"News exhibits political moderation, unbiasedness, or accuracy",
Fair reporting,1,Fair reporting,"News exhibits political moderation, unbiasedness, or accuracy",
fairness,1,fairness,"News exhibits political moderation, unbiasedness, or accuracy",
For accurate news,1,For accurate news,"News exhibits political moderation, unbiasedness, or accuracy",
for left leaning  news.,1,for left leaning  news.,"News exhibits political moderation, unbiasedness, or accuracy",
For report they do,1,For report they do,"News exhibits political moderation, unbiasedness, or accuracy",
fOR THE QUALITY OF THE NEWS,1,fOR THE QUALITY OF THE NEWS,"News exhibits political moderation, unbiasedness, or accuracy",
for truested,1,for truested,Other,
from experience,1,from experience,"Nostalgia, familiarity, and comfort",
Fun,1,Fun,Other,
Fun communicativr,1,Fun communicativr,Other,
Funded by the public and no advertising,1,Funded by the public and no advertising,Public funding,
G is good for you,1,G is good for you,"Nostalgia, familiarity, and comfort",
Game,1,Game,Other,
Gauge,1,Gauge,Other,
genuine and unique in its programming,1,genuine and unique in its programming,Range and diversity of programming,
Get rid of the night and I will be there,1,Get rid of the night and I will be there,Other,
Gives all sides,1,Gives all sides,"News exhibits political moderation, unbiasedness, or accuracy",
Gives info on many subjects,1,Gives info on many subjects,"News exhibits political moderation, unbiasedness, or accuracy",
good,11,good,Other,
Good,8,Good,Other,
Good content,1,Good content,High quality programming,
Good entertainment,1,Good entertainment,High quality programming,
Good news,1,Good news,"News exhibits political moderation, unbiasedness, or accuracy",
Good programing,1,Good programing,High quality programming,
good programs,2,good programs,High quality programming,
good quality,1,good quality,High quality programming,
Good quality and product,1,Good quality and product,High quality programming,
good quality of news,1,good quality of news,"News exhibits political moderation, unbiasedness, or accuracy",
Good reports,1,Good reports,"News exhibits political moderation, unbiasedness, or accuracy",
good reputation,1,good reputation,Other,
Good reputation,1,Good reputation,Other,
good source,1,good source,"News exhibits political moderation, unbiasedness, or accuracy",
good unbias reporting,1,good unbias reporting,"News exhibits political moderation, unbiasedness, or accuracy",
good value,1,good value,Other,
Good vibes,1,Good vibes,Other,
GoodGood,1,GoodGood,Other,
Government and advertisers not involved,1,Government and advertisers not involved,Public funding,
Grear,1,Grear,Other,
Great,1,Great,Other,
Great for kids and learning and great news that isn’t overly political,1,Great for kids and learning and great news that isn’t overly political,Children's and educational programming,
great news,1,great news,"News exhibits political moderation, unbiasedness, or accuracy",
Great news,1,Great news,"News exhibits political moderation, unbiasedness, or accuracy",
Great news they give,1,Great news they give,"News exhibits political moderation, unbiasedness, or accuracy",
great range of programming that interests me not found on regular national channels,1,great range of programming that interests me not found on regular national channels,High quality programming,
"Great reputation and track record for ""getting it right"".",1,"Great reputation and track record for ""getting it right"".","News exhibits political moderation, unbiasedness, or accuracy",
great source of news,1,great source of news,"News exhibits political moderation, unbiasedness, or accuracy",
Great variety of programming. Informative programming.,1,Great variety of programming. Informative programming.,High quality programming,
Grown up with the world of PBS,1,Grown up with the world of PBS,"Nostalgia, familiarity, and comfort",
has always seemed unbiased,1,has always seemed unbiased,"News exhibits political moderation, unbiasedness, or accuracy",
Has been there when I was little,1,Has been there when I was little,"Nostalgia, familiarity, and comfort",
Has good new and kids program,1,Has good new and kids program,High quality programming,
Has never made me have doubt in it's authenticity and sincerity.,1,Has never made me have doubt in it's authenticity and sincerity.,"Nostalgia, familiarity, and comfort",
"has programming that is useful and provides knowledge about several subjects, I can always learn something new when watching PBS",1,"has programming that is useful and provides knowledge about several subjects, I can always learn something new when watching PBS",High quality programming,
Have a good,1,Have a good,Other,
have always had a fair reporting of news,1,have always had a fair reporting of news,"News exhibits political moderation, unbiasedness, or accuracy",
Havent been given a reasin not to,1,Havent been given a reasin not to,Other,
helpful,1,helpful,Other,
Hey I keep thinking you were supposed to cVote,1,Hey I keep thinking you were supposed to cVote,Other,
"High level of intelligence in reporting, production",1,"High level of intelligence in reporting, production","News exhibits political moderation, unbiasedness, or accuracy",
History. Reliable and honest,1,History. Reliable and honest,"News exhibits political moderation, unbiasedness, or accuracy",
honest,1,honest,"News exhibits political moderation, unbiasedness, or accuracy",
Honest,2,Honest,"News exhibits political moderation, unbiasedness, or accuracy",
Honest and informative programming.,1,Honest and informative programming.,"News exhibits political moderation, unbiasedness, or accuracy",
"honest news reporting, quality programing",1,"honest news reporting, quality programing","News exhibits political moderation, unbiasedness, or accuracy",
honest quality,1,honest quality,"News exhibits political moderation, unbiasedness, or accuracy",
Honest reporting,1,Honest reporting,"News exhibits political moderation, unbiasedness, or accuracy",
Honestly and awesome,1,Honestly and awesome,Other,
Honestly idk,1,Honestly idk,Other,
Honestly say,1,Honestly say,Other,
honesty,2,honesty,"News exhibits political moderation, unbiasedness, or accuracy",
Honesty,6,Honesty,"News exhibits political moderation, unbiasedness, or accuracy",
Honesty even with bias. Any bias is clear and is not intrusive.,1,Honesty even with bias. Any bias is clear and is not intrusive.,"News exhibits political moderation, unbiasedness, or accuracy",
"honesty, no sensationalism",1,"honesty, no sensationalism","News exhibits political moderation, unbiasedness, or accuracy",
Hood,1,Hood,Other,
Hopefully this kit will help provide you with strategies and resources,1,Hopefully this kit will help provide you with strategies and resources,Other,
Huell Howser's California Gold,1,Huell Howser's California Gold,A specific show or program,
i  dont know,1,i  dont know,Other,
I agree with pBS,1,I agree with pBS,"Nostalgia, familiarity, and comfort",
I alwaus frjsted it,1,I alwaus frjsted it,Other,
i always have,1,i always have,"Nostalgia, familiarity, and comfort",
I always have,1,I always have,"Nostalgia, familiarity, and comfort",
i am interested,1,i am interested,Other,
"I beleive they are not in it for money they want the truth to be told, not like all the others that in it for nothing but money period.",1,"I beleive they are not in it for money they want the truth to be told, not like all the others that in it for nothing but money period.","News exhibits political moderation, unbiasedness, or accuracy",
I believe that a not for profit medium gives a balanced feel to all the programming,1,I believe that a not for profit medium gives a balanced feel to all the programming,Public funding,
I believe they report accurately and without bias,1,I believe they report accurately and without bias,"News exhibits political moderation, unbiasedness, or accuracy",
I can remember a time when PBS had to retract something as it was found to be untrue.,1,I can remember a time when PBS had to retract something as it was found to be untrue.,"Nostalgia, familiarity, and comfort",
I can trust my kids can watch it without me.,1,I can trust my kids can watch it without me.,Children's and educational programming,
i comfort this,1,i comfort this,"Nostalgia, familiarity, and comfort",
"I distinctly remmeber that PBS' overall mission was to educate the children, thus why there are so many shows dedicated to help children learn to read, count, and explore the world around them.",1,"I distinctly remmeber that PBS' overall mission was to educate the children, thus why there are so many shows dedicated to help children learn to read, count, and explore the world around them.",Children's and educational programming,
i don't hear any drastically dangerous rhetoric ... mostly in the political arena,1,i don't hear any drastically dangerous rhetoric ... mostly in the political arena,"News exhibits political moderation, unbiasedness, or accuracy",
I don't really trust any of the broad casting net works because 90 % are totally biased against any thing that doesn't agree with what their slant is.,1,I don't really trust any of the broad casting net works because 90 % are totally biased against any thing that doesn't agree with what their slant is.,Other,
I don't think the people running this are influenced by profits are government,1,I don't think the people running this are influenced by profits are government,Structure of the network,
I don't trust PBS I like them as they have no ads and show British programming,1,I don't trust PBS I like them as they have no ads and show British programming,Public funding,
I don’t especially trust it.,1,I don’t especially trust it.,Other,
I don’t know,1,I don’t know,Other,
I don’t know to be honest,1,I don’t know to be honest,Other,
I don’t think it is biased,1,I don’t think it is biased,"News exhibits political moderation, unbiasedness, or accuracy",
I dont,1,I dont,Other,
I dont think they are bias,1,I dont think they are bias,"News exhibits political moderation, unbiasedness, or accuracy",
I feel that PBS repirts objectively and provides as much fact as available to their reporters.,1,I feel that PBS repirts objectively and provides as much fact as available to their reporters.,"News exhibits political moderation, unbiasedness, or accuracy",
I find that they tend to be more interested in reporting the news as it happened rather than showing personal bias as fact,1,I find that they tend to be more interested in reporting the news as it happened rather than showing personal bias as fact,"News exhibits political moderation, unbiasedness, or accuracy",
I fondly remember it,1,I fondly remember it,"Nostalgia, familiarity, and comfort",
I grew up on pbs shows and they stay true to those programs,1,I grew up on pbs shows and they stay true to those programs,"Nostalgia, familiarity, and comfort",
"I grew up watching it, there have been programs for me at any age, interesting programming, publicly funded",1,"I grew up watching it, there have been programs for me at any age, interesting programming, publicly funded","Nostalgia, familiarity, and comfort",
I Grew Up Watching PBS,1,I Grew Up Watching PBS,"Nostalgia, familiarity, and comfort",
I grew up with it,2,I grew up with it,"Nostalgia, familiarity, and comfort",
I grew up with it and they have more representation than anything,1,I grew up with it and they have more representation than anything,"Nostalgia, familiarity, and comfort",
I grew up with it as a kid and it many reputable people use it in my life,1,I grew up with it as a kid and it many reputable people use it in my life,"Nostalgia, familiarity, and comfort",
I grew up with it.,1,I grew up with it.,"Nostalgia, familiarity, and comfort",
I grew up with them as a child,1,I grew up with them as a child,"Nostalgia, familiarity, and comfort",
I grew up with them in my life,1,I grew up with them in my life,"Nostalgia, familiarity, and comfort",
I grew up with them.,1,I grew up with them.,"Nostalgia, familiarity, and comfort",
I have always felt they are unbiased from the news I have heard,1,I have always felt they are unbiased from the news I have heard,"News exhibits political moderation, unbiasedness, or accuracy",
I have always trusted PBS since I was a child. I'm 57 now. It's a station that you learn to trust blindly due to its content and wholesomeness.,1,I have always trusted PBS since I was a child. I'm 57 now. It's a station that you learn to trust blindly due to its content and wholesomeness.,"Nostalgia, familiarity, and comfort",
"I have been watching since I was a kid, and have never received false information regarding the news.",1,"I have been watching since I was a kid, and have never received false information regarding the news.","Nostalgia, familiarity, and comfort",
I have ever since I was a kid havnt proved me wrong yet,1,I have ever since I was a kid havnt proved me wrong yet,"Nostalgia, familiarity, and comfort",
I have never been wronged by them before!,1,I have never been wronged by them before!,"Nostalgia, familiarity, and comfort",
I have never had any reason not to or been disappointed by anything they did or said,1,I have never had any reason not to or been disappointed by anything they did or said,"Nostalgia, familiarity, and comfort",
I have trusted pbs since I was a child. They're the best plain and simple.ple,1,I have trusted pbs since I was a child. They're the best plain and simple.ple,"Nostalgia, familiarity, and comfort",
I have watched it several times and it seems non bias,1,I have watched it several times and it seems non bias,"News exhibits political moderation, unbiasedness, or accuracy",
I have watched it since a young age,1,I have watched it since a young age,"Nostalgia, familiarity, and comfort",
I have watched them since I was a kid,1,I have watched them since I was a kid,"Nostalgia, familiarity, and comfort",
I heard about the great reviews and services and PBS.,1,I heard about the great reviews and services and PBS.,High quality programming,
I just always have I cannot explain why other than that they are not influenced by anybody they just report the truth,1,I just always have I cannot explain why other than that they are not influenced by anybody they just report the truth,"News exhibits political moderation, unbiasedness, or accuracy",
I just believe there trustworthy,1,I just believe there trustworthy,"News exhibits political moderation, unbiasedness, or accuracy",
I just do,1,I just do,Other,
I just like it,1,I just like it,Other,
I Just Love it,1,I Just Love it,Other,
I know they don’t exist to sell something to me. I think their news reporting is quite fair,1,I know they don’t exist to sell something to me. I think their news reporting is quite fair,Public funding,
I like,1,I like,Other,
i like it,1,i like it,Other,
I like it,2,I like it,Other,
i like it very much,2,i like it very much,Other,
I like it.,1,I like it.,Other,
I like that,1,I like that,Other,
I like the programming they provide for my child,1,I like the programming they provide for my child,Children's and educational programming,
I like very much,1,I like very much,Other,
I like what they show and tell in their programs,1,I like what they show and tell in their programs,High quality programming,
I love it,1,I love it,Other,
I love the educational programs for children and adult and thr fact that they are locally funded and involved in thr communities,1,I love the educational programs for children and adult and thr fact that they are locally funded and involved in thr communities,Children's and educational programming,
I love the PBS Newshour and all the children's programming and entertainment programming. I grew up watching this with my parents and grandparents and it reminds me of a simpler time when people could communicate pleasantly.,1,I love the PBS Newshour and all the children's programming and entertainment programming. I grew up watching this with my parents and grandparents and it reminds me of a simpler time when people could communicate pleasantly.,"Nostalgia, familiarity, and comfort",
I love the way PBS portrays and includes every race and accepts everyone.,1,I love the way PBS portrays and includes every race and accepts everyone.,"Nostalgia, familiarity, and comfort",
I love their non biased approach when it comes to airing local news,1,I love their non biased approach when it comes to airing local news,"News exhibits political moderation, unbiasedness, or accuracy",
I never found out that anything reported on pbs was fake.,1,I never found out that anything reported on pbs was fake.,"News exhibits political moderation, unbiasedness, or accuracy",
I plenty of this they have to offer you to watch without being biase,1,I plenty of this they have to offer you to watch without being biase,"News exhibits political moderation, unbiasedness, or accuracy",
i prefer not to say,1,i prefer not to say,Other,
I really don’t actually. They are communist,1,I really don’t actually. They are communist,Other,
I remember watching bill nye and Sesame Street as a kid and I have a major nostalgia with pbs,1,I remember watching bill nye and Sesame Street as a kid and I have a major nostalgia with pbs,"Nostalgia, familiarity, and comfort",
I think PBS is very professional.,1,I think PBS is very professional.,Structure of the network,
I think so,1,I think so,Other,
I think that PBS provides true information,1,I think that PBS provides true information,"News exhibits political moderation, unbiasedness, or accuracy",
I think that they are a reliable source,1,I think that they are a reliable source,"News exhibits political moderation, unbiasedness, or accuracy",
I think the reason I trust them the most is their unbiased views in reporting the. news...,1,I think the reason I trust them the most is their unbiased views in reporting the. news...,"News exhibits political moderation, unbiasedness, or accuracy",
I think they try and give a more balanced and fair presentation of their programming.,1,I think they try and give a more balanced and fair presentation of their programming.,"News exhibits political moderation, unbiasedness, or accuracy",
I trudt them because theyre a good service,1,I trudt them because theyre a good service,Structure of the network,
I Trust  all,1,I Trust  all,Other,
i trust PBS,1,i trust PBS,Other,
I trust PBS as much as I trust any information service,1,I trust PBS as much as I trust any information service,Other,
I trust PBS because it educates through information and not speculations.,1,I trust PBS because it educates through information and not speculations.,"News exhibits political moderation, unbiasedness, or accuracy",
i trust PBS because it has always been the same. no suprises from PBS.,1,i trust PBS because it has always been the same. no suprises from PBS.,"Nostalgia, familiarity, and comfort",
I trust PBS because it is funded and ran by the citizens and not private entity.,1,I trust PBS because it is funded and ran by the citizens and not private entity.,Public funding,
