Var1,Freq,names.mytab.
"Not influenced by government,Not influenced by advertisers,Accessibility to PBS,Nostalgic connection with PBS,Specific programs:",1,"Not influenced by government,Not influenced by advertisers,Accessibility to PBS,Nostalgic connection with PBS,Specific programs:"
"Not influenced by government,Not influenced by advertisers,Children’s programming,Range of programming,Nostalgic connection with PBS",1,"Not influenced by government,Not influenced by advertisers,Children’s programming,Range of programming,Nostalgic connection with PBS"
"Not influenced by government,Not influenced by advertisers,Local affiliates,Accessibility to PBS",1,"Not influenced by government,Not influenced by advertisers,Local affiliates,Accessibility to PBS"
"Not influenced by government,Not influenced by advertisers,Local affiliates,Children’s programming,Range of programming,Accessibility to PBS,Nostalgic connection with PBS",1,"Not influenced by government,Not influenced by advertisers,Local affiliates,Children’s programming,Range of programming,Accessibility to PBS,Nostalgic connection with PBS"
"Not influenced by government,Not sure",2,"Not influenced by government,Not sure"
"Not influenced by government,Range of programming",1,"Not influenced by government,Range of programming"
"Not influenced by government,Range of programming,Accessibility to PBS,Specific programs:",1,"Not influenced by government,Range of programming,Accessibility to PBS,Specific programs:"
Not sure,42,Not sure
Other:,4,Other:
Perceived lack of bias in the news and reporting,32,Perceived lack of bias in the news and reporting
"Perceived lack of bias in the news and reporting,Accessibility to PBS",2,"Perceived lack of bias in the news and reporting,Accessibility to PBS"
"Perceived lack of bias in the news and reporting,Accessibility to PBS,Nostalgic connection with PBS",1,"Perceived lack of bias in the news and reporting,Accessibility to PBS,Nostalgic connection with PBS"
"Perceived lack of bias in the news and reporting,Children’s programming",4,"Perceived lack of bias in the news and reporting,Children’s programming"
"Perceived lack of bias in the news and reporting,Children’s programming,Nostalgic connection with PBS",1,"Perceived lack of bias in the news and reporting,Children’s programming,Nostalgic connection with PBS"
"Perceived lack of bias in the news and reporting,Children’s programming,Range of programming",1,"Perceived lack of bias in the news and reporting,Children’s programming,Range of programming"
"Perceived lack of bias in the news and reporting,Children’s programming,Range of programming,Accessibility to PBS,Nostalgic connection with PBS,Specific programs:",1,"Perceived lack of bias in the news and reporting,Children’s programming,Range of programming,Accessibility to PBS,Nostalgic connection with PBS,Specific programs:"
"Perceived lack of bias in the news and reporting,Children’s programming,Specific programs:",1,"Perceived lack of bias in the news and reporting,Children’s programming,Specific programs:"
"Perceived lack of bias in the news and reporting,Local affiliates,Accessibility to PBS,Other:",1,"Perceived lack of bias in the news and reporting,Local affiliates,Accessibility to PBS,Other:"
"Perceived lack of bias in the news and reporting,Local affiliates,Children’s programming",1,"Perceived lack of bias in the news and reporting,Local affiliates,Children’s programming"
"Perceived lack of bias in the news and reporting,Non-profit",4,"Perceived lack of bias in the news and reporting,Non-profit"
"Perceived lack of bias in the news and reporting,Non-profit,Accessibility to PBS",3,"Perceived lack of bias in the news and reporting,Non-profit,Accessibility to PBS"
"Perceived lack of bias in the news and reporting,Non-profit,Children’s programming,Nostalgic connection with PBS",1,"Perceived lack of bias in the news and reporting,Non-profit,Children’s programming,Nostalgic connection with PBS"
"Perceived lack of bias in the news and reporting,Non-profit,Children’s programming,Range of programming,Specific programs:",1,"Perceived lack of bias in the news and reporting,Non-profit,Children’s programming,Range of programming,Specific programs:"
"Perceived lack of bias in the news and reporting,Non-profit,Not influenced by advertisers",4,"Perceived lack of bias in the news and reporting,Non-profit,Not influenced by advertisers"
"Perceived lack of bias in the news and reporting,Non-profit,Not influenced by advertisers,Accessibility to PBS",1,"Perceived lack of bias in the news and reporting,Non-profit,Not influenced by advertisers,Accessibility to PBS"
"Perceived lack of bias in the news and reporting,Non-profit,Not influenced by advertisers,Children’s programming,Accessibility to PBS",1,"Perceived lack of bias in the news and reporting,Non-profit,Not influenced by advertisers,Children’s programming,Accessibility to PBS"
"Perceived lack of bias in the news and reporting,Non-profit,Not influenced by advertisers,Children’s programming,Range of programming",1,"Perceived lack of bias in the news and reporting,Non-profit,Not influenced by advertisers,Children’s programming,Range of programming"
"Perceived lack of bias in the news and reporting,Non-profit,Not influenced by advertisers,Children’s programming,Range of programming,Accessibility to PBS,Nostalgic connection with PBS",1,"Perceived lack of bias in the news and reporting,Non-profit,Not influenced by advertisers,Children’s programming,Range of programming,Accessibility to PBS,Nostalgic connection with PBS"
"Perceived lack of bias in the news and reporting,Non-profit,Not influenced by advertisers,Range of programming",2,"Perceived lack of bias in the news and reporting,Non-profit,Not influenced by advertisers,Range of programming"
"Perceived lack of bias in the news and reporting,Non-profit,Not influenced by advertisers,Range of programming,Nostalgic connection with PBS",1,"Perceived lack of bias in the news and reporting,Non-profit,Not influenced by advertisers,Range of programming,Nostalgic connection with PBS"
"Perceived lack of bias in the news and reporting,Non-profit,Not influenced by advertisers,Range of programming,Specific programs:",1,"Perceived lack of bias in the news and reporting,Non-profit,Not influenced by advertisers,Range of programming,Specific programs:"
"Perceived lack of bias in the news and reporting,Non-profit,Not influenced by government",1,"Perceived lack of bias in the news and reporting,Non-profit,Not influenced by government"
"Perceived lack of bias in the news and reporting,Non-profit,Not influenced by government,Local affiliates,Children’s programming",1,"Perceived lack of bias in the news and reporting,Non-profit,Not influenced by government,Local affiliates,Children’s programming"
"Perceived lack of bias in the news and reporting,Non-profit,Not influenced by government,Local affiliates,Children’s programming,Accessibility to PBS,Specific programs:",1,"Perceived lack of bias in the news and reporting,Non-profit,Not influenced by government,Local affiliates,Children’s programming,Accessibility to PBS,Specific programs:"
"Perceived lack of bias in the news and reporting,Non-profit,Not influenced by government,Not influenced by advertisers",9,"Perceived lack of bias in the news and reporting,Non-profit,Not influenced by government,Not influenced by advertisers"
"Perceived lack of bias in the news and reporting,Non-profit,Not influenced by government,Not influenced by advertisers,Accessibility to PBS",1,"Perceived lack of bias in the news and reporting,Non-profit,Not influenced by government,Not influenced by advertisers,Accessibility to PBS"
"Perceived lack of bias in the news and reporting,Non-profit,Not influenced by government,Not influenced by advertisers,Children’s programming,Specific programs:",1,"Perceived lack of bias in the news and reporting,Non-profit,Not influenced by government,Not influenced by advertisers,Children’s programming,Specific programs:"
"Perceived lack of bias in the news and reporting,Non-profit,Not influenced by government,Not influenced by advertisers,Local affiliates",1,"Perceived lack of bias in the news and reporting,Non-profit,Not influenced by government,Not influenced by advertisers,Local affiliates"
"Perceived lack of bias in the news and reporting,Non-profit,Not influenced by government,Not influenced by advertisers,Local affiliates,Children’s programming,Range of programming,Nostalgic connection with PBS",1,"Perceived lack of bias in the news and reporting,Non-profit,Not influenced by government,Not influenced by advertisers,Local affiliates,Children’s programming,Range of programming,Nostalgic connection with PBS"
"Perceived lack of bias in the news and reporting,Non-profit,Not influenced by government,Not influenced by advertisers,Nostalgic connection with PBS",1,"Perceived lack of bias in the news and reporting,Non-profit,Not influenced by government,Not influenced by advertisers,Nostalgic connection with PBS"
"Perceived lack of bias in the news and reporting,Non-profit,Not influenced by government,Not influenced by advertisers,Range of programming",2,"Perceived lack of bias in the news and reporting,Non-profit,Not influenced by government,Not influenced by advertisers,Range of programming"
"Perceived lack of bias in the news and reporting,Non-profit,Range of programming",1,"Perceived lack of bias in the news and reporting,Non-profit,Range of programming"
"Perceived lack of bias in the news and reporting,Non-profit,Specific programs:",1,"Perceived lack of bias in the news and reporting,Non-profit,Specific programs:"
"Perceived lack of bias in the news and reporting,Not influenced by advertisers",4,"Perceived lack of bias in the news and reporting,Not influenced by advertisers"
"Perceived lack of bias in the news and reporting,Not influenced by advertisers,Children’s programming,Accessibility to PBS",1,"Perceived lack of bias in the news and reporting,Not influenced by advertisers,Children’s programming,Accessibility to PBS"
"Perceived lack of bias in the news and reporting,Not influenced by advertisers,Children’s programming,Range of programming",1,"Perceived lack of bias in the news and reporting,Not influenced by advertisers,Children’s programming,Range of programming"
"Perceived lack of bias in the news and reporting,Not influenced by government",1,"Perceived lack of bias in the news and reporting,Not influenced by government"
"Perceived lack of bias in the news and reporting,Not influenced by government,Children’s programming",1,"Perceived lack of bias in the news and reporting,Not influenced by government,Children’s programming"
"Perceived lack of bias in the news and reporting,Not influenced by government,Children’s programming,Accessibility to PBS",1,"Perceived lack of bias in the news and reporting,Not influenced by government,Children’s programming,Accessibility to PBS"
"Perceived lack of bias in the news and reporting,Not influenced by government,Children’s programming,Nostalgic connection with PBS",1,"Perceived lack of bias in the news and reporting,Not influenced by government,Children’s programming,Nostalgic connection with PBS"
"Perceived lack of bias in the news and reporting,Not influenced by government,Local affiliates",1,"Perceived lack of bias in the news and reporting,Not influenced by government,Local affiliates"
"Perceived lack of bias in the news and reporting,Not influenced by government,Local affiliates,Children’s programming",2,"Perceived lack of bias in the news and reporting,Not influenced by government,Local affiliates,Children’s programming"
"Perceived lack of bias in the news and reporting,Not influenced by government,Not influenced by advertisers",7,"Perceived lack of bias in the news and reporting,Not influenced by government,Not influenced by advertisers"
"Perceived lack of bias in the news and reporting,Not influenced by government,Not influenced by advertisers,Children’s programming",2,"Perceived lack of bias in the news and reporting,Not influenced by government,Not influenced by advertisers,Children’s programming"
"Perceived lack of bias in the news and reporting,Not influenced by government,Not influenced by advertisers,Children’s programming,Nostalgic connection with PBS,Specific programs:",1,"Perceived lack of bias in the news and reporting,Not influenced by government,Not influenced by advertisers,Children’s programming,Nostalgic connection with PBS,Specific programs:"
"Perceived lack of bias in the news and reporting,Not influenced by government,Not influenced by advertisers,Children’s programming,Range of programming,Specific programs:",1,"Perceived lack of bias in the news and reporting,Not influenced by government,Not influenced by advertisers,Children’s programming,Range of programming,Specific programs:"
"Perceived lack of bias in the news and reporting,Not influenced by government,Not influenced by advertisers,Local affiliates,Children’s programming,Range of programming,Accessibility to PBS,Nostalgic connection with PBS",1,"Perceived lack of bias in the news and reporting,Not influenced by government,Not influenced by advertisers,Local affiliates,Children’s programming,Range of programming,Accessibility to PBS,Nostalgic connection with PBS"
"Perceived lack of bias in the news and reporting,Not influenced by government,Not influenced by advertisers,Local affiliates,Range of programming,Accessibility to PBS",1,"Perceived lack of bias in the news and reporting,Not influenced by government,Not influenced by advertisers,Local affiliates,Range of programming,Accessibility to PBS"
"Perceived lack of bias in the news and reporting,Not influenced by government,Not influenced by advertisers,Range of programming",3,"Perceived lack of bias in the news and reporting,Not influenced by government,Not influenced by advertisers,Range of programming"
"Perceived lack of bias in the news and reporting,Not influenced by government,Range of programming",1,"Perceived lack of bias in the news and reporting,Not influenced by government,Range of programming"
"Perceived lack of bias in the news and reporting,Not influenced by government,Range of programming,Accessibility to PBS",1,"Perceived lack of bias in the news and reporting,Not influenced by government,Range of programming,Accessibility to PBS"
"Perceived lack of bias in the news and reporting,Not sure",2,"Perceived lack of bias in the news and reporting,Not sure"
"Perceived lack of bias in the news and reporting,Other:",1,"Perceived lack of bias in the news and reporting,Other:"
"Perceived lack of bias in the news and reporting,Publicly funded",6,"Perceived lack of bias in the news and reporting,Publicly funded"
"Perceived lack of bias in the news and reporting,Publicly funded,Accessibility to PBS",1,"Perceived lack of bias in the news and reporting,Publicly funded,Accessibility to PBS"
"Perceived lack of bias in the news and reporting,Publicly funded,Children’s programming,Not sure",1,"Perceived lack of bias in the news and reporting,Publicly funded,Children’s programming,Not sure"
"Perceived lack of bias in the news and reporting,Publicly funded,Children’s programming,Range of programming,Specific programs:",1,"Perceived lack of bias in the news and reporting,Publicly funded,Children’s programming,Range of programming,Specific programs:"
"Perceived lack of bias in the news and reporting,Publicly funded,Local affiliates",1,"Perceived lack of bias in the news and reporting,Publicly funded,Local affiliates"
"Perceived lack of bias in the news and reporting,Publicly funded,Local affiliates,Accessibility to PBS",2,"Perceived lack of bias in the news and reporting,Publicly funded,Local affiliates,Accessibility to PBS"
"Perceived lack of bias in the news and reporting,Publicly funded,Local affiliates,Children’s programming,Range of programming,Accessibility to PBS",1,"Perceived lack of bias in the news and reporting,Publicly funded,Local affiliates,Children’s programming,Range of programming,Accessibility to PBS"
"Perceived lack of bias in the news and reporting,Publicly funded,Local affiliates,Nostalgic connection with PBS",1,"Perceived lack of bias in the news and reporting,Publicly funded,Local affiliates,Nostalgic connection with PBS"
"Perceived lack of bias in the news and reporting,Publicly funded,Local affiliates,Range of programming",1,"Perceived lack of bias in the news and reporting,Publicly funded,Local affiliates,Range of programming"
"Perceived lack of bias in the news and reporting,Publicly funded,Local affiliates,Range of programming,Accessibility to PBS",1,"Perceived lack of bias in the news and reporting,Publicly funded,Local affiliates,Range of programming,Accessibility to PBS"
"Perceived lack of bias in the news and reporting,Publicly funded,Local affiliates,Range of programming,Accessibility to PBS,Nostalgic connection with PBS",1,"Perceived lack of bias in the news and reporting,Publicly funded,Local affiliates,Range of programming,Accessibility to PBS,Nostalgic connection with PBS"
"Perceived lack of bias in the news and reporting,Publicly funded,Non-profit",6,"Perceived lack of bias in the news and reporting,Publicly funded,Non-profit"
"Perceived lack of bias in the news and reporting,Publicly funded,Non-profit,Children’s programming,Accessibility to PBS",1,"Perceived lack of bias in the news and reporting,Publicly funded,Non-profit,Children’s programming,Accessibility to PBS"
"Perceived lack of bias in the news and reporting,Publicly funded,Non-profit,Children’s programming,Range of programming",1,"Perceived lack of bias in the news and reporting,Publicly funded,Non-profit,Children’s programming,Range of programming"
"Perceived lack of bias in the news and reporting,Publicly funded,Non-profit,Children’s programming,Range of programming,Nostalgic connection with PBS",1,"Perceived lack of bias in the news and reporting,Publicly funded,Non-profit,Children’s programming,Range of programming,Nostalgic connection with PBS"
"Perceived lack of bias in the news and reporting,Publicly funded,Non-profit,Local affiliates,Accessibility to PBS",1,"Perceived lack of bias in the news and reporting,Publicly funded,Non-profit,Local affiliates,Accessibility to PBS"
"Perceived lack of bias in the news and reporting,Publicly funded,Non-profit,Local affiliates,Range of programming,Accessibility to PBS",1,"Perceived lack of bias in the news and reporting,Publicly funded,Non-profit,Local affiliates,Range of programming,Accessibility to PBS"
"Perceived lack of bias in the news and reporting,Publicly funded,Non-profit,Not influenced by advertisers",4,"Perceived lack of bias in the news and reporting,Publicly funded,Non-profit,Not influenced by advertisers"
"Perceived lack of bias in the news and reporting,Publicly funded,Non-profit,Not influenced by advertisers,Children’s programming",1,"Perceived lack of bias in the news and reporting,Publicly funded,Non-profit,Not influenced by advertisers,Children’s programming"
"Perceived lack of bias in the news and reporting,Publicly funded,Non-profit,Not influenced by advertisers,Children’s programming,Accessibility to PBS,Specific programs: ,Other:",1,"Perceived lack of bias in the news and reporting,Publicly funded,Non-profit,Not influenced by advertisers,Children’s programming,Accessibility to PBS,Specific programs: ,Other:"
"Perceived lack of bias in the news and reporting,Publicly funded,Non-profit,Not influenced by advertisers,Children’s programming,Nostalgic connection with PBS",1,"Perceived lack of bias in the news and reporting,Publicly funded,Non-profit,Not influenced by advertisers,Children’s programming,Nostalgic connection with PBS"
"Perceived lack of bias in the news and reporting,Publicly funded,Non-profit,Not influenced by advertisers,Children’s programming,Range of programming,Accessibility to PBS",1,"Perceived lack of bias in the news and reporting,Publicly funded,Non-profit,Not influenced by advertisers,Children’s programming,Range of programming,Accessibility to PBS"
"Perceived lack of bias in the news and reporting,Publicly funded,Non-profit,Not influenced by advertisers,Local affiliates,Children’s programming",1,"Perceived lack of bias in the news and reporting,Publicly funded,Non-profit,Not influenced by advertisers,Local affiliates,Children’s programming"
"Perceived lack of bias in the news and reporting,Publicly funded,Non-profit,Not influenced by advertisers,Local affiliates,Children’s programming,Accessibility to PBS,Specific programs:",1,"Perceived lack of bias in the news and reporting,Publicly funded,Non-profit,Not influenced by advertisers,Local affiliates,Children’s programming,Accessibility to PBS,Specific programs:"
"Perceived lack of bias in the news and reporting,Publicly funded,Non-profit,Not influenced by advertisers,Local affiliates,Children’s programming,Nostalgic connection with PBS,Specific programs:",1,"Perceived lack of bias in the news and reporting,Publicly funded,Non-profit,Not influenced by advertisers,Local affiliates,Children’s programming,Nostalgic connection with PBS,Specific programs:"
"Perceived lack of bias in the news and reporting,Publicly funded,Non-profit,Not influenced by advertisers,Local affiliates,Children’s programming,Range of programming",1,"Perceived lack of bias in the news and reporting,Publicly funded,Non-profit,Not influenced by advertisers,Local affiliates,Children’s programming,Range of programming"
"Perceived lack of bias in the news and reporting,Publicly funded,Non-profit,Not influenced by advertisers,Local affiliates,Range of programming,Accessibility to PBS",1,"Perceived lack of bias in the news and reporting,Publicly funded,Non-profit,Not influenced by advertisers,Local affiliates,Range of programming,Accessibility to PBS"
"Perceived lack of bias in the news and reporting,Publicly funded,Non-profit,Not influenced by advertisers,Range of programming",1,"Perceived lack of bias in the news and reporting,Publicly funded,Non-profit,Not influenced by advertisers,Range of programming"
"Perceived lack of bias in the news and reporting,Publicly funded,Non-profit,Not influenced by government",2,"Perceived lack of bias in the news and reporting,Publicly funded,Non-profit,Not influenced by government"
"Perceived lack of bias in the news and reporting,Publicly funded,Non-profit,Not influenced by government,Children’s programming",1,"Perceived lack of bias in the news and reporting,Publicly funded,Non-profit,Not influenced by government,Children’s programming"
"Perceived lack of bias in the news and reporting,Publicly funded,Non-profit,Not influenced by government,Children’s programming,Nostalgic connection with PBS",1,"Perceived lack of bias in the news and reporting,Publicly funded,Non-profit,Not influenced by government,Children’s programming,Nostalgic connection with PBS"
"Perceived lack of bias in the news and reporting,Publicly funded,Non-profit,Not influenced by government,Children’s programming,Range of programming",1,"Perceived lack of bias in the news and reporting,Publicly funded,Non-profit,Not influenced by government,Children’s programming,Range of programming"
"Perceived lack of bias in the news and reporting,Publicly funded,Non-profit,Not influenced by government,Children’s programming,Range of programming,Specific programs:",1,"Perceived lack of bias in the news and reporting,Publicly funded,Non-profit,Not influenced by government,Children’s programming,Range of programming,Specific programs:"
"Perceived lack of bias in the news and reporting,Publicly funded,Non-profit,Not influenced by government,Local affiliates",1,"Perceived lack of bias in the news and reporting,Publicly funded,Non-profit,Not influenced by government,Local affiliates"
"Perceived lack of bias in the news and reporting,Publicly funded,Non-profit,Not influenced by government,Not influenced by advertisers",5,"Perceived lack of bias in the news and reporting,Publicly funded,Non-profit,Not influenced by government,Not influenced by advertisers"
"Perceived lack of bias in the news and reporting,Publicly funded,Non-profit,Not influenced by government,Not influenced by advertisers,Children’s programming,Nostalgic connection with PBS",1,"Perceived lack of bias in the news and reporting,Publicly funded,Non-profit,Not influenced by government,Not influenced by advertisers,Children’s programming,Nostalgic connection with PBS"
"Perceived lack of bias in the news and reporting,Publicly funded,Non-profit,Not influenced by government,Not influenced by advertisers,Children’s programming,Range of programming",1,"Perceived lack of bias in the news and reporting,Publicly funded,Non-profit,Not influenced by government,Not influenced by advertisers,Children’s programming,Range of programming"
"Perceived lack of bias in the news and reporting,Publicly funded,Non-profit,Not influenced by government,Not influenced by advertisers,Children’s programming,Range of programming,Accessibility to PBS",1,"Perceived lack of bias in the news and reporting,Publicly funded,Non-profit,Not influenced by government,Not influenced by advertisers,Children’s programming,Range of programming,Accessibility to PBS"
"Perceived lack of bias in the news and reporting,Publicly funded,Non-profit,Not influenced by government,Not influenced by advertisers,Children’s programming,Specific programs:",1,"Perceived lack of bias in the news and reporting,Publicly funded,Non-profit,Not influenced by government,Not influenced by advertisers,Children’s programming,Specific programs:"
"Perceived lack of bias in the news and reporting,Publicly funded,Non-profit,Not influenced by government,Not influenced by advertisers,Local affiliates",2,"Perceived lack of bias in the news and reporting,Publicly funded,Non-profit,Not influenced by government,Not influenced by advertisers,Local affiliates"
"Perceived lack of bias in the news and reporting,Publicly funded,Non-profit,Not influenced by government,Not influenced by advertisers,Local affiliates,Accessibility to PBS,Nostalgic connection with PBS",1,"Perceived lack of bias in the news and reporting,Publicly funded,Non-profit,Not influenced by government,Not influenced by advertisers,Local affiliates,Accessibility to PBS,Nostalgic connection with PBS"
"Perceived lack of bias in the news and reporting,Publicly funded,Non-profit,Not influenced by government,Not influenced by advertisers,Local affiliates,Children’s programming,Accessibility to PBS,Nostalgic connection with PBS",1,"Perceived lack of bias in the news and reporting,Publicly funded,Non-profit,Not influenced by government,Not influenced by advertisers,Local affiliates,Children’s programming,Accessibility to PBS,Nostalgic connection with PBS"
"Perceived lack of bias in the news and reporting,Publicly funded,Non-profit,Not influenced by government,Not influenced by advertisers,Local affiliates,Children’s programming,Range of programming",1,"Perceived lack of bias in the news and reporting,Publicly funded,Non-profit,Not influenced by government,Not influenced by advertisers,Local affiliates,Children’s programming,Range of programming"
"Perceived lack of bias in the news and reporting,Publicly funded,Non-profit,Not influenced by government,Not influenced by advertisers,Local affiliates,Children’s programming,Range of programming,Accessibility to PBS,Nostalgic connection with PBS",3,"Perceived lack of bias in the news and reporting,Publicly funded,Non-profit,Not influenced by government,Not influenced by advertisers,Local affiliates,Children’s programming,Range of programming,Accessibility to PBS,Nostalgic connection with PBS"
"Perceived lack of bias in the news and reporting,Publicly funded,Non-profit,Not influenced by government,Not influenced by advertisers,Local affiliates,Nostalgic connection with PBS",1,"Perceived lack of bias in the news and reporting,Publicly funded,Non-profit,Not influenced by government,Not influenced by advertisers,Local affiliates,Nostalgic connection with PBS"
"Perceived lack of bias in the news and reporting,Publicly funded,Non-profit,Not influenced by government,Not influenced by advertisers,Local affiliates,Range of programming",1,"Perceived lack of bias in the news and reporting,Publicly funded,Non-profit,Not influenced by government,Not influenced by advertisers,Local affiliates,Range of programming"
"Perceived lack of bias in the news and reporting,Publicly funded,Non-profit,Not influenced by government,Not influenced by advertisers,Local affiliates,Range of programming,Accessibility to PBS,Nostalgic connection with PBS",1,"Perceived lack of bias in the news and reporting,Publicly funded,Non-profit,Not influenced by government,Not influenced by advertisers,Local affiliates,Range of programming,Accessibility to PBS,Nostalgic connection with PBS"
